,importance
tcp.dstport,0.30980174558946616
tcp.srcport,0.3090648696677334
ip.dst,0.14241568771531454
ip.src,0.10402597005289724
frame.len,0.06494765386505906
mqtt.topic,0.033040075806085124
mqtt.msgtype,0.019853323464923144
tcp.flags,0.01685067383852136
