frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1776192575.058831204","127.0.0.1","127.0.0.1","59838","37991","76","0x0002",,
"1776192575.058855537","127.0.0.1","127.0.0.1","37991","59838","76","0x0012",,
"1776192575.058879871","127.0.0.1","127.0.0.1","59838","37991","68","0x0010",,
"1776192575.058959287","192.168.0.110","192.168.0.110","1883","57995","72","0x0018","2",
"1776192575.058983204","192.168.0.110","192.168.0.110","57995","1883","68","0x0010",,
"1776192575.926192788","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192575.926279496","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192576.062042580","192.168.0.110","192.168.0.110","41737","1883","76","0x0002",,
"1776192576.062095580","192.168.0.110","192.168.0.110","1883","41737","76","0x0012",,
"1776192576.062143871","192.168.0.110","192.168.0.110","41737","1883","68","0x0010",,
"1776192576.062335163","192.168.0.110","192.168.0.110","41737","1883","101","0x0018","1",
"1776192576.062358246","192.168.0.110","192.168.0.110","1883","41737","68","0x0010",,
"1776192576.062532996","127.0.0.1","127.0.0.1","57594","45201","76","0x0002",,
"1776192576.062560580","127.0.0.1","127.0.0.1","45201","57594","76","0x0012",,
"1776192576.062587955","127.0.0.1","127.0.0.1","57594","45201","68","0x0010",,
"1776192576.062848246","192.168.0.110","192.168.0.110","1883","41737","72","0x0018","2",
"1776192576.062869080","192.168.0.110","192.168.0.110","41737","1883","68","0x0010",,
"1776192576.533439455",,,,,"44",,,
"1776192576.533670080",,,,,"44",,,
"1776192576.928049122","192.168.0.111","192.168.0.110","45339","1883","782","0x0018","3","Fan Speed"
"1776192576.928146455","192.168.0.110","192.168.0.111","1883","45339","68","0x0010",,
"1776192576.928256872","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192576.928290413","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192577.066606122","192.168.0.110","192.168.0.110","44057","1883","76","0x0002",,
"1776192577.066662580","192.168.0.110","192.168.0.110","1883","44057","76","0x0012",,
"1776192577.066700247","192.168.0.110","192.168.0.110","44057","1883","68","0x0010",,
"1776192577.066787997","192.168.0.110","192.168.0.110","44057","1883","101","0x0018","1",
"1776192577.066799038","192.168.0.110","192.168.0.110","1883","44057","68","0x0010",,
"1776192577.066854413","127.0.0.1","127.0.0.1","41536","45891","76","0x0002",,
"1776192577.066866788","127.0.0.1","127.0.0.1","45891","41536","76","0x0012",,
"1776192577.066879080","127.0.0.1","127.0.0.1","41536","45891","68","0x0010",,
"1776192577.066950955","192.168.0.110","192.168.0.110","1883","44057","72","0x0018","2",
"1776192577.066964747","192.168.0.110","192.168.0.110","44057","1883","68","0x0010",,
"1776192577.927494872","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192577.927580039","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192577.927793331","192.168.0.113","192.168.0.110","35231","1883","884","0x0018","3","Temperature"
"1776192577.927830497","192.168.0.110","192.168.0.113","1883","35231","68","0x0010",,
"1776192578.074086039","192.168.0.110","192.168.0.110","36945","1883","76","0x0002",,
"1776192578.074150247","192.168.0.110","192.168.0.110","1883","36945","76","0x0012",,
"1776192578.074201622","192.168.0.110","192.168.0.110","36945","1883","68","0x0010",,
"1776192578.074424747","192.168.0.110","192.168.0.110","36945","1883","101","0x0018","1",
"1776192578.074445581","192.168.0.110","192.168.0.110","1883","36945","68","0x0010",,
"1776192578.074586997","127.0.0.1","127.0.0.1","48284","32947","76","0x0002",,
"1776192578.074606664","127.0.0.1","127.0.0.1","32947","48284","76","0x0012",,
