frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic,label
1775524141.7013588,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524141.701404,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524142.7024436,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524142.7024887,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524143.7056944,192.168.0.111,192.168.0.110,32977.0,1883.0,782,0x0018,3.0,Fan Speed,normal
1775524143.7057755,192.168.0.110,192.168.0.111,1883.0,32977.0,68,0x0010,,,normal
1775524143.7061038,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524143.7061467,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524144.7020247,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524144.702074,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524144.702143,192.168.0.113,192.168.0.110,35173.0,1883.0,935,0x0018,3.0,Temperature,normal
1775524144.7021606,192.168.0.110,192.168.0.113,1883.0,35173.0,68,0x0010,,,normal
1775524145.7026188,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524145.7026668,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524146.7022343,192.168.0.111,192.168.0.110,32977.0,1883.0,782,0x0018,3.0,Fan Speed,normal
1775524146.7023373,192.168.0.110,192.168.0.111,1883.0,32977.0,68,0x0010,,,normal
1775524146.702439,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524146.702459,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524146.7184715,192.168.64.3,192.168.64.1,,,102,,,,normal
1775524146.8239813,,,,,44,,,,normal
1775524146.8241196,,,,,44,,,,normal
1775524146.8239822,192.168.64.1,192.168.64.3,,,270,,,,normal
1775524146.824896,,,36296.0,80.0,96,0x0002,,,normal
1775524147.7030125,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524147.7031054,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524147.890096,,,36296.0,80.0,96,0x0002,,,normal
1775524148.7018273,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524148.7019153,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524148.7019708,192.168.0.113,192.168.0.110,35173.0,1883.0,935,0x0018,3.0,Temperature,normal
1775524148.7019858,192.168.0.110,192.168.0.113,1883.0,35173.0,68,0x0010,,,normal
1775524148.9110343,,,36296.0,80.0,96,0x0002,,,normal
1775524149.7018,192.168.0.111,192.168.0.110,32977.0,1883.0,782,0x0018,3.0,Fan Speed,normal
1775524149.701836,192.168.0.110,192.168.0.111,1883.0,32977.0,68,0x0010,,,normal
