frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic,label
1775524146.7023373,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524146.702439,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524146.702459,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524146.7184715,17,18,0.0,0.0,102,0,-1.0,2,1
1775524146.8239813,0,0,0.0,0.0,44,0,-1.0,2,1
1775524146.8241196,0,0,0.0,0.0,44,0,-1.0,2,1
1775524146.8239822,16,20,0.0,0.0,270,0,-1.0,2,1
1775524146.824896,0,0,36296.0,80.0,96,1,-1.0,2,1
1775524147.7030125,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524147.7031054,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524147.890096,0,0,36296.0,80.0,96,1,-1.0,2,1
1775524148.7018273,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524148.7019153,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524148.7019708,14,13,35173.0,1883.0,935,7,3.0,3,1
1775524148.7019858,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524148.9110343,0,0,36296.0,80.0,96,1,-1.0,2,1
1775524149.7018,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524149.701836,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524149.7019513,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524149.701965,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524149.9361396,0,0,36296.0,80.0,96,1,-1.0,2,1
1775524150.159345,0,0,80.0,36296.0,96,5,-1.0,2,1
1775524150.1594183,0,0,36296.0,80.0,88,3,-1.0,2,1
1775524150.1595595,0,0,36296.0,80.0,176,7,-1.0,2,1
1775524150.2885923,0,0,80.0,36296.0,273,7,-1.0,2,1
1775524150.2885952,0,0,80.0,36296.0,88,4,-1.0,2,1
1775524150.2886658,0,0,36296.0,80.0,88,3,-1.0,2,1
1775524150.2888553,0,0,36296.0,80.0,88,4,-1.0,2,1
1775524150.4795616,0,0,80.0,36296.0,88,3,-1.0,2,1
1775524150.701346,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524150.701371,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524151.7044053,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524151.7044978,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524152.1109753,0,0,0.0,0.0,44,0,-1.0,2,1
1775524152.1112452,0,0,0.0,0.0,44,0,-1.0,2,1
1775524152.7025285,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524152.7025716,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524152.702608,14,13,35173.0,1883.0,935,7,3.0,3,1
1775524152.7026248,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524152.702664,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524152.7026792,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524153.7051375,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524153.7052,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524154.7016516,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524154.701676,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524155.457947,0,0,0.0,0.0,88,0,-1.0,2,1
1775524155.4580157,0,0,0.0,0.0,80,0,-1.0,2,1
1775524155.702788,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524155.7028444,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524155.7030056,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524155.7030303,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524156.701226,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524156.7012675,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524156.701314,14,13,35173.0,1883.0,884,7,3.0,3,1
1775524156.7013288,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524157.7046444,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524157.7046912,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524158.702336,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524158.7023692,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524158.702402,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524158.7024145,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524159.7068367,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524159.706914,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524160.702848,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524160.7029696,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524160.7030516,14,13,35173.0,1883.0,986,7,3.0,3,1
1775524160.7030718,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524160.8167,0,0,0.0,0.0,88,0,-1.0,2,1
1775524160.8170629,0,0,0.0,0.0,80,0,-1.0,2,1
1775524161.7025018,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524161.7025309,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524161.7025626,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524161.7025723,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524162.702103,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524162.7021291,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524163.7012472,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524163.7013092,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524164.702496,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524164.702524,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524164.7025442,14,13,35173.0,1883.0,986,7,3.0,3,1
1775524164.7025542,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524164.7025764,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524164.702584,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524165.702073,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524165.7021036,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524166.5737138,0,0,0.0,0.0,88,0,-1.0,2,1
1775524166.5737548,0,0,0.0,0.0,80,0,-1.0,2,1
1775524166.7008393,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524166.7009163,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524167.700826,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524167.7008476,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524167.700899,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524167.700906,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524168.7072127,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524168.7072978,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524168.7074056,14,13,35173.0,1883.0,935,7,3.0,3,1
1775524168.707434,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524169.701704,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524169.7017555,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524170.7007098,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524170.700745,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524170.70078,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524170.7007904,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524171.7023764,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524171.702427,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524172.7024012,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524172.7024384,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524172.702469,14,13,35173.0,1883.0,986,7,3.0,3,1
1775524172.7024796,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524173.7020886,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524173.702119,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524173.702204,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524173.7022629,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524174.7026124,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524174.702742,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524175.702368,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524175.7024004,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524176.2033637,12,13,32977.0,1883.0,70,7,12.0,2,1
1775524176.2034109,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524176.2034414,14,13,35173.0,1883.0,70,7,12.0,2,1
1775524176.2034533,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524176.2034843,13,13,39919.0,1883.0,70,7,12.0,2,1
1775524176.2034943,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524176.2035084,11,14,1883.0,32977.0,70,7,13.0,2,1
