frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1776054816.304563720","192.168.0.111","192.168.0.110","44505","1883","782","0x0018","3","Fan Speed"
"1776054816.304586970","192.168.0.110","192.168.0.111","1883","44505","68","0x0010",,
"1776054816.304606054","192.168.0.120","192.168.0.110","40409","1883","861","0x0018","3","Movement"
"1776054816.304612595","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054816.304627595","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054816.304633595","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054817.303637647","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054817.303697314","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054817.303767939","192.168.0.120","192.168.0.110","40409","1883","991","0x0018","3","Movement"
"1776054817.303788772","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054818.308976832","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054818.309145249","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054818.309244041","192.168.0.120","192.168.0.110","40409","1883","1095","0x0018","3","Movement"
"1776054818.309265999","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054819.308111258","192.168.0.111","192.168.0.110","44505","1883","782","0x0018","3","Fan Speed"
"1776054819.308195883","192.168.0.110","192.168.0.111","1883","44505","68","0x0010",,
"1776054819.308391550","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054819.308420009","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054819.308501300","192.168.0.113","192.168.0.110","35227","1883","986","0x0018","3","Temperature"
"1776054819.308522425","192.168.0.110","192.168.0.113","1883","35227","68","0x0010",,
"1776054819.309082551","192.168.0.120","192.168.0.110","40409","1883","2044","0x0018","3","Movement"
"1776054819.309114510","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054820.310454606","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054820.310514231","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054820.310617939","192.168.0.120","192.168.0.110","40409","1883","1602","0x0018","3","Movement"
"1776054820.310650606","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054821.305979027","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054821.306141319","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054821.306258236","192.168.0.120","192.168.0.110","40409","1883","913","0x0018","3","Movement"
"1776054821.306283903","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054822.308493958","192.168.0.111","192.168.0.110","44505","1883","782","0x0018","3","Fan Speed"
"1776054822.308588792","192.168.0.110","192.168.0.111","1883","44505","68","0x0010",,
"1776054822.308747792","192.168.0.120","192.168.0.110","40409","1883","1134","0x0018","3","Movement"
"1776054822.308770042","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054822.308822042","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054822.308838376","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054822.320076266","192.168.64.3","192.168.64.1",,,"102",,,
"1776054822.329975905","192.168.64.1","192.168.64.3",,,"198",,,
"1776054822.330684281","192.168.64.3","91.189.91.97","38484","80","76","0x0002",,
"1776054823.309890388","192.168.0.113","192.168.0.110","35227","1883","986","0x0018","3","Temperature"
"1776054823.309977888","192.168.0.110","192.168.0.113","1883","35227","68","0x0010",,
"1776054823.311107556","192.168.0.120","192.168.0.110","40409","1883","1368","0x0018","3","Movement"
"1776054823.311145056","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054823.311230931","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054823.311254348","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054823.334300672","192.168.64.3","91.189.91.97","38484","80","76","0x0002",,
"1776054824.309118023","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054824.309184148","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054824.309309815","192.168.0.120","192.168.0.110","40409","1883","1160","0x0018","3","Movement"
"1776054824.309363315","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054824.361838304","192.168.64.3","91.189.91.97","38484","80","76","0x0002",,
"1776054825.308694867","192.168.0.111","192.168.0.110","44505","1883","782","0x0018","3","Fan Speed"
