frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1775524144.702074112","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524144.702143070","192.168.0.113","192.168.0.110","35173","1883","935","0x0018","3","Temperature"
"1775524144.702160653","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524145.702618843","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524145.702666759","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524146.702234201","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524146.702337368","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524146.702439035","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524146.702459118","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524146.718471574","192.168.64.3","192.168.64.1",,,"102",,,
"1775524146.823981309",,,,,"44",,,
"1775524146.824119643",,,,,"44",,,
"1775524146.823982226","192.168.64.1","192.168.64.3",,,"270",,,
"1775524146.824896267",,,"36296","80","96","0x0002",,
"1775524147.703012521","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524147.703105438","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524147.890095954",,,"36296","80","96","0x0002",,
"1775524148.701827261","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524148.701915261","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524148.701970969","192.168.0.113","192.168.0.110","35173","1883","935","0x0018","3","Temperature"
"1775524148.701985844","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524148.911034399",,,"36296","80","96","0x0002",,
"1775524149.701800253","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524149.701835961","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524149.701951211","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524149.701965253","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524149.936139722",,,"36296","80","96","0x0002",,
"1775524150.159344985",,,"80","36296","96","0x0012",,
"1775524150.159418401",,,"36296","80","88","0x0010",,
"1775524150.159559568",,,"36296","80","176","0x0018",,
"1775524150.288592551",,,"80","36296","273","0x0018",,
"1775524150.288595385",,,"80","36296","88","0x0011",,
"1775524150.288665801",,,"36296","80","88","0x0010",,
"1775524150.288855385",,,"36296","80","88","0x0011",,
"1775524150.479561735",,,"80","36296","88","0x0010",,
"1775524150.701346082","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524150.701371040","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524151.704405496","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524151.704497871","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524152.110975236",,,,,"44",,,
"1775524152.111245320",,,,,"44",,,
"1775524152.702528330","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524152.702571622","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524152.702607913","192.168.0.113","192.168.0.110","35173","1883","935","0x0018","3","Temperature"
"1775524152.702624830","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524152.702663913","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524152.702679330","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524153.705137583","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524153.705200125","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524154.701651590","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524154.701676131","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524155.457947002",,,,,"88",,,
"1775524155.458015627",,,,,"80",,,
"1775524155.702787932","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524155.702844599","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524155.703005724","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524155.703030599","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524156.701225944","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524156.701267402","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524156.701314069","192.168.0.113","192.168.0.110","35173","1883","884","0x0018","3","Temperature"
"1775524156.701328902","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524157.704644542","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524157.704691167","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524158.702336059","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524158.702369184","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524158.702402143","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524158.702414268","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524159.706836662","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524159.706914121","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524160.702848144","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524160.702969769","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524160.703051602","192.168.0.113","192.168.0.110","35173","1883","986","0x0018","3","Temperature"
"1775524160.703071810","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524160.816700091",,,,,"88",,,
"1775524160.817062799",,,,,"80",,,
"1775524161.702501878","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524161.702530795","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524161.702562670","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524161.702572461","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524162.702102990","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524162.702129240","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524163.701247188","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524163.701309396","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524164.702495971","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524164.702523971","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524164.702544221","192.168.0.113","192.168.0.110","35173","1883","986","0x0018","3","Temperature"
"1775524164.702554263","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524164.702576388","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524164.702584013","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524165.702073133","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
